Total Nacional;Comunidades y Ciudades Autónomas;Origen del agua;periodo;Total
España;Comunitat Valenciana;Aguas superficiales;2007;1.044.820
España;Comunitat Valenciana;Aguas superficiales;2006;1.288.236
España;Comunitat Valenciana;Aguas superficiales;2005;1.487.375
España;Comunitat Valenciana;Aguas superficiales;2004;1.737.799
España;Comunitat Valenciana;Aguas superficiales;2003;1.974.329
España;Comunitat Valenciana;Aguas superficiales;2002;1.770.627
España;Comunitat Valenciana;Aguas superficiales;2001;1.852.260
España;Comunitat Valenciana;Aguas superficiales;2000;2.201.994
España;Comunitat Valenciana;Aguas subterráneas;2018;557.741
España;Comunitat Valenciana;Aguas subterráneas;2016;656.869
España;Comunitat Valenciana;Aguas subterráneas;2015;649.850
España;Comunitat Valenciana;Aguas subterráneas;2014;745.750
España;Comunitat Valenciana;Aguas subterráneas;2013;483.528
España;Comunitat Valenciana;Aguas subterráneas;2012;574.358
España;Comunitat Valenciana;Aguas subterráneas;2011;355.720
España;Comunitat Valenciana;Aguas subterráneas;2010;336.080
España;Comunitat Valenciana;Aguas subterráneas;2009;488.701
España;Comunitat Valenciana;Aguas subterráneas;2008;422.803
España;Comunitat Valenciana;Aguas subterráneas;2007;451.727
España;Comunitat Valenciana;Aguas subterráneas;2006;300.186
España;Comunitat Valenciana;Aguas subterráneas;2005;282.355
España;Comunitat Valenciana;Aguas subterráneas;2004;117.909
España;Comunitat Valenciana;Aguas subterráneas;2003;132.180
España;Comunitat Valenciana;Aguas subterráneas;2002;127.581
España;Comunitat Valenciana;Aguas subterráneas;2001;321.340
España;Comunitat Valenciana;Aguas subterráneas;2000;129.115
España;Comunitat Valenciana;Otros recursos hídricos;2018;110.558
España;Comunitat Valenciana;Otros recursos hídricos;2016;147.588
España;Comunitat Valenciana;Otros recursos hídricos;2015;127.282
España;Comunitat Valenciana;Otros recursos hídricos;2014;147.250
España;Comunitat Valenciana;Otros recursos hídricos;2013;105.874
España;Comunitat Valenciana;Otros recursos hídricos;2012;97.743
España;Comunitat Valenciana;Otros recursos hídricos;2011;82.540
España;Comunitat Valenciana;Otros recursos hídricos;2010;97.451
España;Comunitat Valenciana;Otros recursos hídricos;2009;108.820
España;Comunitat Valenciana;Otros recursos hídricos;2008;63.500
España;Comunitat Valenciana;Otros recursos hídricos;2007;65.455
España;Comunitat Valenciana;Otros recursos hídricos;2006;91.564
España;Comunitat Valenciana;Otros recursos hídricos;2005;67.907
España;Comunitat Valenciana;Otros recursos hídricos;2004;140.813
España;Comunitat Valenciana;Otros recursos hídricos;2003;26.786
España;Comunitat Valenciana;Otros recursos hídricos;2002;104.447
España;Comunitat Valenciana;Otros recursos hídricos;2001;281.708
España;Comunitat Valenciana;Otros recursos hídricos;2000;59.953
España;Extremadura;Total;2018;1.886.472
España;Extremadura;Total;2016;1.992.450
España;Extremadura;Total;2015;1.850.472
España;Extremadura;Total;2014;1.796.542
España;Extremadura;Total;2013;1.991.254
España;Extremadura;Total;2012;2.087.235
España;Extremadura;Total;2011;2.025.147
España;Extremadura;Total;2010;2.112.621
España;Extremadura;Total;2009;2.242.121
España;Extremadura;Total;2008;1.644.678
España;Extremadura;Total;2007;1.661.275
España;Extremadura;Total;2006;1.484.674
España;Extremadura;Total;2005;1.540.448
España;Extremadura;Total;2004;1.630.005
España;Extremadura;Total;2003;1.938.564
España;Extremadura;Total;2002;1.687.298
España;Extremadura;Total;2001;1.927.409
España;Extremadura;Total;2000;1.835.570
España;Extremadura;Aguas superficiales;2018;1.712.917
España;Extremadura;Aguas superficiales;2016;1.783.243
España;Extremadura;Aguas superficiales;2015;1.659.873
España;Extremadura;Aguas superficiales;2014;1.643.390
España;Extremadura;Aguas superficiales;2013;1.762.289
España;Extremadura;Aguas superficiales;2012;1.830.267
España;Extremadura;Aguas superficiales;2011;1.824.025
España;Extremadura;Aguas superficiales;2010;1.906.071
España;Extremadura;Aguas superficiales;2009;2.022.911
España;Extremadura;Aguas superficiales;2008;1.483.879
España;Extremadura;Aguas superficiales;2007;1.498.853
España;Extremadura;Aguas superficiales;2006;1.386.536
España;Extremadura;Aguas superficiales;2005;1.344.255
España;Extremadura;Aguas superficiales;2004;1.630.005
España;Extremadura;Aguas superficiales;2003;1.926.671
España;Extremadura;Aguas superficiales;2002;1.687.298
España;Extremadura;Aguas superficiales;2001;1.857.152
España;Extremadura;Aguas superficiales;2000;1.791.242
España;Extremadura;Aguas subterráneas;2018;173.555
España;Extremadura;Aguas subterráneas;2016;209.207
España;Extremadura;Aguas subterráneas;2015;190.599
España;Extremadura;Aguas subterráneas;2014;153.152
España;Extremadura;Aguas subterráneas;2013;228.965
España;Extremadura;Aguas subterráneas;2012;256.968
España;Extremadura;Aguas subterráneas;2011;201.122
España;Extremadura;Aguas subterráneas;2010;206.550
España;Extremadura;Aguas subterráneas;2009;219.210
España;Extremadura;Aguas subterráneas;2008;160.799
España;Extremadura;Aguas subterráneas;2007;162.422
España;Extremadura;Aguas subterráneas;2006;98.138
España;Extremadura;Aguas subterráneas;2005;196.193
España;Extremadura;Aguas subterráneas;2004;0
España;Extremadura;Aguas subterráneas;2003;0
España;Extremadura;Aguas subterráneas;2002;0
España;Extremadura;Aguas subterráneas;2001;0
España;Extremadura;Aguas subterráneas;2000;0
España;Extremadura;Otros recursos hídricos;2018;0
España;Extremadura;Otros recursos hídricos;2016;0
España;Extremadura;Otros recursos hídricos;2015;0
España;Extremadura;Otros recursos hídricos;2014;0
España;Extremadura;Otros recursos hídricos;2013;0
España;Extremadura;Otros recursos hídricos;2012;0
España;Extremadura;Otros recursos hídricos;2011;0
España;Extremadura;Otros recursos hídricos;2010;0
España;Extremadura;Otros recursos hídricos;2009;0
España;Extremadura;Otros recursos hídricos;2008;0
España;Extremadura;Otros recursos hídricos;2007;0
España;Extremadura;Otros recursos hídricos;2006;0
España;Extremadura;Otros recursos hídricos;2005;0
España;Extremadura;Otros recursos hídricos;2004;0
España;Extremadura;Otros recursos hídricos;2003;11.893
España;Extremadura;Otros recursos hídricos;2002;0
España;Extremadura;Otros recursos hídricos;2001;70.257
España;Extremadura;Otros recursos hídricos;2000;44.328
España;Murcia, Región de;Total;2018;675.043
España;Murcia, Región de;Total;2016;663.680
España;Murcia, Región de;Total;2015;680.457
España;Murcia, Región de;Total;2014;743.512
España;Murcia, Región de;Total;2013;630.124
España;Murcia, Región de;Total;2012;683.271
España;Murcia, Región de;Total;2011;636.597
España;Murcia, Región de;Total;2010;536.455
España;Murcia, Región de;Total;2009;570.096
España;Murcia, Región de;Total;2008;528.087
España;Murcia, Región de;Total;2007;562.820
España;Murcia, Región de;Total;2006;538.892
España;Murcia, Región de;Total;2005;586.141
España;Murcia, Región de;Total;2004;652.063
España;Murcia, Región de;Total;2003;695.667
España;Murcia, Región de;Total;2002;740.694
España;Murcia, Región de;Total;2001;643.009
España;Murcia, Región de;Total;2000;550.995
España;Murcia, Región de;Aguas superficiales;2018;321.320
España;Murcia, Región de;Aguas superficiales;2016;328.522
España;Murcia, Región de;Aguas superficiales;2015;340.909
España;Murcia, Región de;Aguas superficiales;2014;375.958
España;Murcia, Región de;Aguas superficiales;2013;305.277
España;Murcia, Región de;Aguas superficiales;2012;345.128
España;Murcia, Región de;Aguas superficiales;2011;292.115
España;Murcia, Región de;Aguas superficiales;2010;192.097
España;Murcia, Región de;Aguas superficiales;2009;175.527
España;Murcia, Región de;Aguas superficiales;2008;132.187
España;Murcia, Región de;Aguas superficiales;2007;109.695
España;Murcia, Región de;Aguas superficiales;2006;99.900
España;Murcia, Región de;Aguas superficiales;2005;158.689
España;Murcia, Región de;Aguas superficiales;2004;491.362
España;Murcia, Región de;Aguas superficiales;2003;423.644
España;Murcia, Región de;Aguas superficiales;2002;529.834
España;Murcia, Región de;Aguas superficiales;2001;453.495
España;Murcia, Región de;Aguas superficiales;2000;408.533
España;Murcia, Región de;Aguas subterráneas;2018;259.892
España;Murcia, Región de;Aguas subterráneas;2016;250.871
España;Murcia, Región de;Aguas subterráneas;2015;254.491
España;Murcia, Región de;Aguas subterráneas;2014;275.919
España;Murcia, Región de;Aguas subterráneas;2013;239.523
España;Murcia, Región de;Aguas subterráneas;2012;263.015
España;Murcia, Región de;Aguas subterráneas;2011;282.322
España;Murcia, Región de;Aguas subterráneas;2010;306.390
España;Murcia, Región de;Aguas subterráneas;2009;329.124
España;Murcia, Región de;Aguas subterráneas;2008;325.322
España;Murcia, Región de;Aguas subterráneas;2007;388.720
España;Murcia, Región de;Aguas subterráneas;2006;364.900
España;Murcia, Región de;Aguas subterráneas;2005;343.618
España;Murcia, Región de;Aguas subterráneas;2004;130.657
España;Murcia, Región de;Aguas subterráneas;2003;226.153
España;Murcia, Región de;Aguas subterráneas;2002;170.211
España;Murcia, Región de;Aguas subterráneas;2001;99.878
España;Murcia, Región de;Aguas subterráneas;2000;123.094
España;Murcia, Región de;Otros recursos hídricos;2018;93.831
España;Murcia, Región de;Otros recursos hídricos;2016;84.287
España;Murcia, Región de;Otros recursos hídricos;2015;85.057
España;Murcia, Región de;Otros recursos hídricos;2014;91.635
España;Murcia, Región de;Otros recursos hídricos;2013;85.324
España;Murcia, Región de;Otros recursos hídricos;2012;75.128
España;Murcia, Región de;Otros recursos hídricos;2011;62.160
España;Murcia, Región de;Otros recursos hídricos;2010;37.968
España;Murcia, Región de;Otros recursos hídricos;2009;65.445
España;Murcia, Región de;Otros recursos hídricos;2008;70.578
España;Murcia, Región de;Otros recursos hídricos;2007;64.405
España;Murcia, Región de;Otros recursos hídricos;2006;74.092
España;Murcia, Región de;Otros recursos hídricos;2005;83.834
España;Murcia, Región de;Otros recursos hídricos;2004;30.044
España;Murcia, Región de;Otros recursos hídricos;2003;45.870
España;Murcia, Región de;Otros recursos hídricos;2002;40.649
España;Murcia, Región de;Otros recursos hídricos;2001;89.636
España;Murcia, Región de;Otros recursos hídricos;2000;19.368
España;Navarra, Comunidad Foral de;Total;2018;578.356
España;Navarra, Comunidad Foral de;Total;2016;547.120
España;Navarra, Comunidad Foral de;Total;2015;560.148
España;Navarra, Comunidad Foral de;Total;2014;754.905
España;Navarra, Comunidad Foral de;Total;2013;853.241
España;Navarra, Comunidad Foral de;Total;2012;813.204
España;Navarra, Comunidad Foral de;Total;2011;719.830
España;Navarra, Comunidad Foral de;Total;2010;528.051
España;Navarra, Comunidad Foral de;Total;2009;691.883
España;Navarra, Comunidad Foral de;Total;2008;749.752
España;Navarra, Comunidad Foral de;Total;2007;567.583
España;Navarra, Comunidad Foral de;Total;2006;458.524
España;Navarra, Comunidad Foral de;Total;2005;458.789
España;Navarra, Comunidad Foral de;Total;2004;445.177
España;Navarra, Comunidad Foral de;Total;2003;525.582
España;Navarra, Comunidad Foral de;Total;2002;518.454
España;Navarra, Comunidad Foral de;Total;2001;650.049
España;Navarra, Comunidad Foral de;Total;2000;631.885
España;Navarra, Comunidad Foral de;Aguas superficiales;2018;518.785
España;Navarra, Comunidad Foral de;Aguas superficiales;2016;485.843
España;Navarra, Comunidad Foral de;Aguas superficiales;2015;498.531
España;Navarra, Comunidad Foral de;Aguas superficiales;2014;672.705
España;Navarra, Comunidad Foral de;Aguas superficiales;2013;821.387
España;Navarra, Comunidad Foral de;Aguas superficiales;2012;780.159
España;Navarra, Comunidad Foral de;Aguas superficiales;2011;704.180
España;Navarra, Comunidad Foral de;Aguas superficiales;2010;506.093
España;Navarra, Comunidad Foral de;Aguas superficiales;2009;676.039
España;Navarra, Comunidad Foral de;Aguas superficiales;2008;733.009
España;Navarra, Comunidad Foral de;Aguas superficiales;2007;556.071
España;Navarra, Comunidad Foral de;Aguas superficiales;2006;446.379
España;Navarra, Comunidad Foral de;Aguas superficiales;2005;443.185
España;Navarra, Comunidad Foral de;Aguas superficiales;2004;442.474
España;Navarra, Comunidad Foral de;Aguas superficiales;2003;511.547
España;Navarra, Comunidad Foral de;Aguas superficiales;2002;502.701
España;Navarra, Comunidad Foral de;Aguas superficiales;2001;636.220
España;Navarra, Comunidad Foral de;Aguas superficiales;2000;621.768
España;Navarra, Comunidad Foral de;Aguas subterráneas;2018;59.571
España;Navarra, Comunidad Foral de;Aguas subterráneas;2016;61.277
España;Navarra, Comunidad Foral de;Aguas subterráneas;2015;61.617
España;Navarra, Comunidad Foral de;Aguas subterráneas;2014;82.200
España;Navarra, Comunidad Foral de;Aguas subterráneas;2013;31.854
España;Navarra, Comunidad Foral de;Aguas subterráneas;2012;33.045
España;Navarra, Comunidad Foral de;Aguas subterráneas;2011;15.650
España;Navarra, Comunidad Foral de;Aguas subterráneas;2010;21.958
España;Navarra, Comunidad Foral de;Aguas subterráneas;2009;15.844
España;Navarra, Comunidad Foral de;Aguas subterráneas;2008;16.743
España;Navarra, Comunidad Foral de;Aguas subterráneas;2007;11.512
España;Navarra, Comunidad Foral de;Aguas subterráneas;2006;12.145
España;Navarra, Comunidad Foral de;Aguas subterráneas;2005;15.604
España;Navarra, Comunidad Foral de;Aguas subterráneas;2004;2.703
España;Navarra, Comunidad Foral de;Aguas subterráneas;2003;9.637
España;Navarra, Comunidad Foral de;Aguas subterráneas;2002;4.271
España;Navarra, Comunidad Foral de;Aguas subterráneas;2001;8.482
España;Navarra, Comunidad Foral de;Aguas subterráneas;2000;7.001
España;Navarra, Comunidad Foral de;Otros recursos hídricos;2018;0
España;Navarra, Comunidad Foral de;Otros recursos hídricos;2016;0
España;Navarra, Comunidad Foral de;Otros recursos hídricos;2015;0
España;Navarra, Comunidad Foral de;Otros recursos hídricos;2014;0
España;Navarra, Comunidad Foral de;Otros recursos hídricos;2013;0
España;Navarra, Comunidad Foral de;Otros recursos hídricos;2012;0
España;Navarra, Comunidad Foral de;Otros recursos hídricos;2011;0
España;Navarra, Comunidad Foral de;Otros recursos hídricos;2010;0
España;Navarra, Comunidad Foral de;Otros recursos hídricos;2009;0
España;Navarra, Comunidad Foral de;Otros recursos hídricos;2008;0
España;Navarra, Comunidad Foral de;Otros recursos hídricos;2007;0
España;Navarra, Comunidad Foral de;Otros recursos hídricos;2006;0
España;Navarra, Comunidad Foral de;Otros recursos hídricos;2005;0
España;Navarra, Comunidad Foral de;Otros recursos hídricos;2004;0
España;Navarra, Comunidad Foral de;Otros recursos hídricos;2003;4.398
España;Navarra, Comunidad Foral de;Otros recursos hídricos;2002;11.482
España;Navarra, Comunidad Foral de;Otros recursos hídricos;2001;5.347
España;Navarra, Comunidad Foral de;Otros recursos hídricos;2000;3.116
España;Rioja, La;Total;2018;229.523
España;Rioja, La;Total;2016;221.712
España;Rioja, La;Total;2015;298.420
España;Rioja, La;Total;2014;305.146
España;Rioja, La;Total;2013;326.258
España;Rioja, La;Total;2012;349.157
España;Rioja, La;Total;2011;316.710
España;Rioja, La;Total;2010;282.537
España;Rioja, La;Total;2009;277.730
España;Rioja, La;Total;2008;249.300
España;Rioja, La;Total;2007;228.493
España;Rioja, La;Total;2006;196.716
España;Rioja, La;Total;2005;198.803
España;Rioja, La;Total;2004;207.594
España;Rioja, La;Total;2003;214.709
España;Rioja, La;Total;2002;219.830
España;Rioja, La;Total;2001;224.713
España;Rioja, La;Total;2000;184.004
España;Rioja, La;Aguas superficiales;2018;206.112
España;Rioja, La;Aguas superficiales;2016;197.102
España;Rioja, La;Aguas superficiales;2015;264.698
España;Rioja, La;Aguas superficiales;2014;270.840
España;Rioja, La;Aguas superficiales;2013;288.407
España;Rioja, La;Aguas superficiales;2012;317.010
España;Rioja, La;Aguas superficiales;2011;291.620
España;Rioja, La;Aguas superficiales;2010;239.064
España;Rioja, La;Aguas superficiales;2009;239.179
España;Rioja, La;Aguas superficiales;2008;228.578
España;Rioja, La;Aguas superficiales;2007;211.349
España;Rioja, La;Aguas superficiales;2006;184.636
España;Rioja, La;Aguas superficiales;2005;185.177
España;Rioja, La;Aguas superficiales;2004;201.365
España;Rioja, La;Aguas superficiales;2003;211.186
España;Rioja, La;Aguas superficiales;2002;211.913
España;Rioja, La;Aguas superficiales;2001;210.161
España;Rioja, La;Aguas superficiales;2000;171.875
España;Rioja, La;Aguas subterráneas;2018;23.411
España;Rioja, La;Aguas subterráneas;2016;24.610
España;Rioja, La;Aguas subterráneas;2015;33.722
España;Rioja, La;Aguas subterráneas;2014;34.306
España;Rioja, La;Aguas subterráneas;2013;37.851
España;Rioja, La;Aguas subterráneas;2012;32.147
España;Rioja, La;Aguas subterráneas;2011;25.090
España;Rioja, La;Aguas subterráneas;2010;43.473
España;Rioja, La;Aguas subterráneas;2009;38.551
España;Rioja, La;Aguas subterráneas;2008;20.722
España;Rioja, La;Aguas subterráneas;2007;17.144
España;Rioja, La;Aguas subterráneas;2006;12.080
España;Rioja, La;Aguas subterráneas;2005;13.626
España;Rioja, La;Aguas subterráneas;2004;6.229
España;Rioja, La;Aguas subterráneas;2003;0
España;Rioja, La;Aguas subterráneas;2002;0
España;Rioja, La;Aguas subterráneas;2001;0
España;Rioja, La;Aguas subterráneas;2000;0
España;Rioja, La;Otros recursos hídricos;2018;0
España;Rioja, La;Otros recursos hídricos;2016;0
España;Rioja, La;Otros recursos hídricos;2015;0
España;Rioja, La;Otros recursos hídricos;2014;0
España;Rioja, La;Otros recursos hídricos;2013;0
España;Rioja, La;Otros recursos hídricos;2012;0
España;Rioja, La;Otros recursos hídricos;2011;0
España;Rioja, La;Otros recursos hídricos;2010;0
España;Rioja, La;Otros recursos hídricos;2009;0
España;Rioja, La;Otros recursos hídricos;2008;0
España;Rioja, La;Otros recursos hídricos;2007;0
España;Rioja, La;Otros recursos hídricos;2006;0
España;Rioja, La;Otros recursos hídricos;2005;0
España;Rioja, La;Otros recursos hídricos;2004;0
España;Rioja, La;Otros recursos hídricos;2003;3.523
España;Rioja, La;Otros recursos hídricos;2002;7.917
España;Rioja, La;Otros recursos hídricos;2001;14.552
España;Rioja, La;Otros recursos hídricos;2000;12.129
Resto de Comunidades Autónomas;;Total;2018;322.572
Resto de Comunidades Autónomas;;Total;2016;313.140
Resto de Comunidades Autónomas;;Total;2015;340.258
Resto de Comunidades Autónomas;;Total;2014;376.258
Resto de Comunidades Autónomas;;Total;2013;358.142
Resto de Comunidades Autónomas;;Total;2012;401.324
Resto de Comunidades Autónomas;;Total;2011;393.552
Resto de Comunidades Autónomas;;Total;2010;320.341
Resto de Comunidades Autónomas;;Total;2009;302.379
Resto de Comunidades Autónomas;;Total;2008;465.873
Resto de Comunidades Autónomas;;Total;2007;605.092
Resto de Comunidades Autónomas;;Total;2006;450.486
Resto de Comunidades Autónomas;;Total;2005;486.560
Resto de Comunidades Autónomas;;Total;2004;587.366
Resto de Comunidades Autónomas;;Total;2003;656.193
Resto de Comunidades Autónomas;;Total;2002;696.166
Resto de Comunidades Autónomas;;Total;2001;673.892
Resto de Comunidades Autónomas;;Total;2000;288.529
Resto de Comunidades Autónomas;;Aguas superficiales;2018;201.608
Resto de Comunidades Autónomas;;Aguas superficiales;2016;198.218
Resto de Comunidades Autónomas;;Aguas superficiales;2015;198.370
Resto de Comunidades Autónomas;;Aguas superficiales;2014;181.232
Resto de Comunidades Autónomas;;Aguas superficiales;2013;219.452
Resto de Comunidades Autónomas;;Aguas superficiales;2012;238.808
Resto de Comunidades Autónomas;;Aguas superficiales;2011;176.120
Resto de Comunidades Autónomas;;Aguas superficiales;2010;124.427
Resto de Comunidades Autónomas;;Aguas superficiales;2009;111.226
Resto de Comunidades Autónomas;;Aguas superficiales;2008;245.938
Resto de Comunidades Autónomas;;Aguas superficiales;2007;312.335
Resto de Comunidades Autónomas;;Aguas superficiales;2006;260.086
Resto de Comunidades Autónomas;;Aguas superficiales;2005;280.088
Resto de Comunidades Autónomas;;Aguas superficiales;2004;501.660
Resto de Comunidades Autónomas;;Aguas superficiales;2003;646.489
Resto de Comunidades Autónomas;;Aguas superficiales;2002;569.973
Resto de Comunidades Autónomas;;Aguas superficiales;2001;536.446
Resto de Comunidades Autónomas;;Aguas superficiales;2000;260.932
Resto de Comunidades Autónomas;;Aguas subterráneas;2018;88.062
Resto de Comunidades Autónomas;;Aguas subterráneas;2016;80.790
Resto de Comunidades Autónomas;;Aguas subterráneas;2015;95.272
Resto de Comunidades Autónomas;;Aguas subterráneas;2014;149.272
Resto de Comunidades Autónomas;;Aguas subterráneas;2013;90.475
Resto de Comunidades Autónomas;;Aguas subterráneas;2012;110.158
Resto de Comunidades Autónomas;;Aguas subterráneas;2011;170.252
Resto de Comunidades Autónomas;;Aguas subterráneas;2010;174.180
Resto de Comunidades Autónomas;;Aguas subterráneas;2009;180.060
Resto de Comunidades Autónomas;;Aguas subterráneas;2008;207.493
Resto de Comunidades Autónomas;;Aguas subterráneas;2007;261.635
Resto de Comunidades Autónomas;;Aguas subterráneas;2006;185.543
Resto de Comunidades Autónomas;;Aguas subterráneas;2005;200.373
Resto de Comunidades Autónomas;;Aguas subterráneas;2004;77.399
Resto de Comunidades Autónomas;;Aguas subterráneas;2003;6.956
Resto de Comunidades Autónomas;;Aguas subterráneas;2002;108.449
Resto de Comunidades Autónomas;;Aguas subterráneas;2001;134.235
Resto de Comunidades Autónomas;;Aguas subterráneas;2000;27.597
Resto de Comunidades Autónomas;;Otros recursos hídricos;2018;32.902
Resto de Comunidades Autónomas;;Otros recursos hídricos;2016;34.132
Resto de Comunidades Autónomas;;Otros recursos hídricos;2015;46.616
Resto de Comunidades Autónomas;;Otros recursos hídricos;2014;45.754
Resto de Comunidades Autónomas;;Otros recursos hídricos;2013;48.215
Resto de Comunidades Autónomas;;Otros recursos hídricos;2012;52.358
Resto de Comunidades Autónomas;;Otros recursos hídricos;2011;47.180
Resto de Comunidades Autónomas;;Otros recursos hídricos;2010;21.734
Resto de Comunidades Autónomas;;Otros recursos hídricos;2009;11.093
Resto de Comunidades Autónomas;;Otros recursos hídricos;2008;12.442
Resto de Comunidades Autónomas;;Otros recursos hídricos;2007;31.122
Resto de Comunidades Autónomas;;Otros recursos hídricos;2006;4.857
Resto de Comunidades Autónomas;;Otros recursos hídricos;2005;6.099
Resto de Comunidades Autónomas;;Otros recursos hídricos;2004;8.307
Resto de Comunidades Autónomas;;Otros recursos hídricos;2003;2.748
Resto de Comunidades Autónomas;;Otros recursos hídricos;2002;17.744
Resto de Comunidades Autónomas;;Otros recursos hídricos;2001;3.211
Resto de Comunidades Autónomas;;Otros recursos hídricos;2000;0
