fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,glo,ts_20,ts_10,ts_50
1985-10,3260B,0.0(--),0,55,0,0,9.0,968.9(12),0,1019.4,960.1,9.5,32.9(01),17.7,2,0,12,27/12.5(04),0,19,80,0,0,5.0(30),193,113,0,0,1290,0.0,1,0,3,0,18.4,0,17.7,25.9,0,937.3(30),0,,,,
1985-11,3260B,11.2(25),12,74,0,7,4.8,964.1(17),4,1016.5,955.5,4.4,25.6(08),16.0,0,0,6,27/23.1(06),1,12,48,0,12,-4.8(21),234,93,0,4,537,42.1,12,0,7,8,6.3,0,9.4,14.4,0,940.0(26),7,,,,
1985-12,3260B,12.1(29),18,86,,14,3.1,971.3(16),2,1022.2,960.2,1.6,22.2(04),7.2,0,5,3,27/25.0(22),2,10,32,0,19,-3.0(19),216,84,0,4,317,71.2,,0,6,12,2.0,,6.3,10.9,1,938.5(28),10,,,,
1985-13,3260B,18.1(31/may),90,61,,34,8.0,971.3(16/dic),32,1016.5,956.9,9.0,41.0(24/jul),23.2,101,6,118,27/29.2(04/abr),8,157,64,2,80,-8.9(09/ene),260,112,0,11,15942,283.1,,7,9,43,2.0,,15.6,22.1,1,933.5(05/ene),50,,,,
1985-1,3260B,17.3(20),13,79,,7,4.9,970.7(30),1,1016.6,954.5,-0.4,16.4(21),8.8,0,0,8,27/18.6(18),2,10,51,0,12,-8.9(09),207,71,0,2,239,48.9,,0,6,15,3.1,,4.5,9.3,0,933.5(05),9,,,,
1985-2,3260B,10.2(09),15,76,0,4,4.4,969.9(01),8,1019.1,958.1,5.1,19.4(04),10.4,0,1,1,27/26.4(11),1,12,42,1,9,-0.4(04),322,94,0,1,620,23.5,15,0,11,2,5.2,0,10.0,14.8,0,941.2(11),5,,,,
1985-3,3260B,2.9(27),5,59,0,1,8.4,968.7(09),5,1018.4,957.3,2.7,22.5(31),9.2,0,0,10,25/23.6(19),0,16,70,0,4,-2.2(06),329,71,0,0,1073,6.7,6,0,11,6,12.0,0,9.2,15.7,0,939.3(21),3,,,,
1985-4,3260B,8.0(22),11,61,,1,7.6,966.7(02),3,1014.8,955.0,7.2,27.1(30),11.2,0,0,5,27/29.2(04),0,14,57,1,9,2.2(15),265,100,0,0,1037,36.8,,0,9,0,13.6,,13.8,20.3,0,942.4(21),9,,,,
1985-5,3260B,18.1(31),11,57,,0,8.8,960.7(08),5,1012.0,952.8,8.9,29.0(30),14.6,0,0,0,27/20.6(05),2,20,61,0,9,2.8(07),308,108,0,0,1350,41.5,,3,13,0,13.3,,15.4,21.9,0,945.5(05),5,,,,
1985-6,3260B,7.2(01),5,55,,0,10.9,962.0(10),1,1013.5,955.8,15.6,36.0(30),20.5,19,0,10,27/17.5(21),0,15,73,0,3,11.0(09),261,163,0,0,1902,11.4,,2,12,0,16.2,,22.7,29.8,0,949.3(13),2,,,,
1985-7,3260B,0.2(03),0,48,,0,12.2,963.6(22),1,1013.3,956.4,19.4,41.0(24),23.2,27,0,22,32/16.7(29),0,9,83,0,2,14.2(04),286,184,0,0,2900,0.3,,0,11,0,26.6,,27.2,35.1,0,950.9(25),0,,,,
1985-8,3260B,0.0(--),0,38,0,0,12.6,965.3(27),1,1014.7,957.4,17.2,40.5(04),21.9,28,0,27,34/19.2(05),0,4,92,0,0,11.5(07),255,132,0,0,2836,0.0,0,0,10,0,27.0,0,25.8,34.3,0,949.3(05),0,,,,
1985-9,3260B,0.7(20),0,44,0,0,9.8,966.0(29),1,1017.0,959.3,16.3,37.1(06),21.0,25,0,14,27/15.6(07),0,16,79,0,1,11.5(17),242,134,0,0,1841,0.7,2,2,5,0,28.0,0,24.6,33.0,0,954.0(15),0,,,,
1986-10,3260B,26.1(14),8,69,0,3,6.4,969.9(27),0,1019.6,960.1,10.8,28.0(09),16.6,0,0,7,30/13.9(23),2,16,58,0,12,4.5(24),209,129,0,1,759,57.8,12,0,5,0,16.3,0,16.8,22.8,0,953.2(12),9,37539,,,
1986-11,3260B,7.0(14),8,70,0,2,6.5,971.4(27),0,1024.3,963.0,3.5,21.0(01),9.9,0,0,10,20/14.4(14),0,12,64,0,4,-1.4(30),164,86,0,1,485,15.0,5,0,4,4,11.0,0,10.0,16.4,0,942.5(14),4,,,,
1986-12,3260B,11.2(13),4,77,0,4,6.1,973.6(17),1,1029.4,966.9,0.7,15.4(27),6.0,0,0,11,35/16.4(27),1,16,65,0,3,-3.6(11),184,75,0,1,425,17.4,4,0,6,12,7.5,0,6.4,12.1,0,953.1(08),3,,,,
1986-13,3260B,26.1(14/oct),77,58,,22,8.3,975.4(13/ene),18,1017.6,957.9,8.7,40.8(30/jul),22.9,98,3,101,27/26.7(05/ene),5,187,66,1,78,-5.0(10/feb),258,99,0,9,15522,251.4,,6,9,44,4.3,,15.3,21.8,0,931.6(30/ene),56,,,,
1986-1,3260B,3.7(07),10,74,,8,5.5,975.4(13),6,1023.2,961.0,0.6,15.2(16),6.0,0,3,7,27/26.7(05),0,14,57,1,6,-4.0(26),267,70,0,2,548,10.0,,0,8,16,7.5,,6.0,11.4,0,931.6(30),3,,,,
1986-2,3260B,19.4(13),19,76,0,3,3.9,962.9(12),4,1010.4,949.3,2.9,16.9(26),10.2,0,0,1,27/23.3(16),1,8,36,0,17,-5.0(10),320,79,0,3,474,62.3,16,1,13,8,4.3,1,7.3,11.7,0,933.1(17),14,,,,
1986-3,3260B,5.5(01),7,59,0,2,8.1,969.1(22),1,1019.1,958.4,4.4,22.7(31),8.2,0,0,7,30/16.1(24),0,17,67,0,8,-0.4(26),273,77,0,0,1017,11.8,11,1,10,1,11.8,0,10.8,17.2,0,935.6(01),3,,,,
1986-4,3260B,5.8(06),9,61,0,0,7.4,963.3(20),2,1012.7,952.1,3.8,23.2(01),8.0,0,0,4,30/18.9(21),0,17,55,0,14,-2.6(13),299,74,0,0,807,37.4,14,0,12,3,8.4,2,9.5,15.3,0,941.2(06),12,,,,
1986-5,3260B,10.5(12),5,44,0,0,10.3,965.2(09),0,1015.5,956.9,11.7,34.8(25),16.8,12,0,5,30/13.6(06),1,21,72,0,4,4.4(03),280,103,0,0,1760,15.5,5,2,11,0,13.5,0,19.1,26.6,0,947.0(02),2,,,,
1986-6,3260B,0.0(--),0,35,0,0,13.5,960.3(30),0,1013.1,955.4,15.4,37.0(28),21.4,21,0,10,24/13.9(26),0,20,90,0,0,9.6(07),288,105,0,0,2219,0.0,0,0,12,0,25.5,0,23.4,31.3,0,947.4(05),0,85799,,,
1986-7,3260B,2.5(25),1,32,0,0,12.4,962.2(29),2,1014.0,957.0,18.6,40.8(30),22.9,30,0,16,34/19.4(25),0,14,85,0,1,13.3(19),299,119,0,0,2925,2.5,1,0,11,0,29.4,0,27.0,35.5,0,949.8(22),1,,,,
1986-8,3260B,1.8(31),0,36,0,0,12.0,962.7(06),0,1013.3,955.9,16.9,38.2(02),20.2,24,0,16,28/13.6(22),0,15,87,0,1,12.2(29),286,117,0,0,2674,1.8,1,1,13,0,26.8,0,24.9,32.9,0,949.0(27),1,,,,
1986-9,3260B,9.9(11),6,58,0,0,7.6,971.1(20),2,1017.1,958.8,15.6,35.8(03),20.6,11,0,7,28/23.6(11),0,17,60,0,8,9.0(27),228,153,0,1,1429,19.9,10,1,8,0,22.2,0,22.1,28.5,0,950.6(16),4,,,,
1987-10,3260B,15.3(27),15,81,0,8,4.0,963.9(17),4,1015.1,955.4,9.9,28.5(01),16.1,0,0,2,24/28.9(16),1,14,35,1,15,4.8(29),247,137,0,0,667,49.7,18,2,9,0,11.8,0,14.7,19.4,0,938.0(10),11,,,,
1987-11,3260B,17.7(07),8,75,0,6,5.2,973.2(19),6,1019.5,958.5,5.0,20.0(20),13.6,0,0,7,35/23.9(23),1,15,53,0,9,-4.2(30),263,97,0,0,527,42.6,10,0,10,3,9.6,0,10.0,15.1,0,938.3(23),6,,,,
1987-12,3260B,27.1(11),21,88,0,15,1.8,977.0(29),2,1020.1,958.7,5.5,18.4(16),11.4,0,4,2,12/22.5(03),2,8,19,0,13,-2.0(01),214,102,0,3,289,62.8,15,0,6,5,0.8,0,8.7,11.9,0,943.6(03),9,,,,
1987-13,3260B,27.2(09/ene),106,63,1,42,7.4,977.0(29/dic),60,1016.5,957.0,9.8,41.6(12/ago),24.6,86,8,71,24/28.9(16/oct),11,188,58,1,91,-5.2(06/ene),268,120,0,8,,365.2,104,12,10,36,0.8,3,15.9,22.0,1,930.6(11/feb),61,,,,
1987-1,3260B,27.2(09),10,75,1,3,5.2,969.9(05),4,1019.4,957.4,0.5,17.8(26),10.4,0,3,9,34/21.4(14),2,12,54,0,11,-5.2(06),250,72,0,1,,64.6,13,0,9,18,3.0,0,5.7,10.9,0,935.0(13),8,,,,
1987-2,3260B,5.2(10),13,76,0,8,5.2,970.4(07),8,1018.3,956.9,3.0,23.2(28),9.2,0,0,3,04/20.8(18),0,12,49,0,12,-3.8(22),242,84,0,3,539,25.7,10,0,8,8,2.2,3,7.9,12.9,1,930.6(11),9,,,,
1987-3,3260B,7.4(12),7,59,0,2,7.1,971.1(30),3,1018.8,958.3,5.6,24.2(04),11.4,0,1,4,35/21.7(29),0,20,59,0,4,0.0(21),267,86,0,1,1023,9.5,5,0,10,2,13.1,0,12.1,18.6,0,947.4(19),2,,,,
1987-4,3260B,17.0(07),13,60,0,0,7.5,967.0(13),7,1016.7,957.0,8.3,30.2(27),13.2,1,0,2,22/20.0(24),2,15,56,0,7,2.2(03),290,102,0,0,1033,41.7,8,0,11,0,10.8,0,14.6,20.8,0,931.1(03),6,,,,
1987-5,3260B,7.3(16),5,44,0,0,10.7,965.2(29),4,1014.3,955.5,10.2,33.1(31),16.7,2,0,7,28/17.5(10),0,19,74,0,3,1.6(05),291,94,0,0,1784,9.0,5,0,11,0,17.6,0,17.7,25.3,0,946.6(22),2,,,,
1987-6,3260B,3.9(30),2,38,0,0,11.7,965.2(27),7,1015.2,957.3,15.4,38.6(28),21.6,17,0,6,30/20.6(07),0,22,78,0,3,9.2(13),322,113,0,0,2317,4.2,5,0,16,0,21.2,0,23.0,30.6,0,950.2(09),1,83562,,,
1987-7,3260B,14.0(13),5,51,0,0,10.6,962.9(27),8,1013.0,955.7,17.9,37.0(03),22.0,23,0,11,02/22.5(25),2,15,72,0,10,13.2(27),312,167,0,0,1851,40.1,10,7,12,0,27.6,0,25.2,32.5,0,948.7(18),4,,,,
1987-8,3260B,1.8(30),5,49,0,0,9.7,961.6(17),6,1012.4,955.4,19.1,41.6(12),24.6,25,0,11,12/19.4(28),0,15,71,0,2,12.6(26),282,181,0,0,2556,2.7,3,2,13,0,25.6,0,26.7,34.2,0,949.1(23),1,,,,
1987-9,3260B,10.7(25),2,64,0,0,9.5,965.5(18),1,1015.6,958.0,16.8,38.2(13),20.4,18,0,7,28/18.6(20),1,21,76,0,2,11.0(02),234,206,0,0,1858,12.6,2,1,8,0,24.6,0,24.5,32.2,0,946.9(25),2,,,,
1988-10,3260B,23.0(16),8,68,0,2,6.2,963.9(20),2,1015.4,956.0,10.5,29.9(04),14.2,0,0,3,05/16.1(16),2,20,56,0,8,5.9(21),237,126,0,0,921,54.9,10,3,8,0,14.8,0,16.4,22.3,0,944.3(14),6,,,,
1988-11,3260B,11.8(30),15,76,0,10,4.1,967.5(28),0,1019.2,958.4,6.1,20.3(04),13.3,0,2,5,12/13.9(24),2,10,41,0,12,-3.8(24),234,105,0,4,377,40.5,12,1,7,6,7.7,0,10.7,15.3,0,944.8(30),7,,,,
1988-12,3260B,0.3(01),1,70,0,5,7.2,975.8(30),1,1028.5,965.9,-0.7,15.5(20),6.4,0,2,17,30/16.1(01),0,13,76,0,1,-4.4(15),178,65,0,0,,0.3,1,0,5,25,7.0,0,5.7,12.1,0,941.6(01),0,,,,
1988-13,3260B,32.5(11/may),99,63,0,33,7.5,975.8(30/dic),40,1017.0,957.3,9.1,40.4(02/ago),23.0,70,35,97,30/28.1(06/ene),13,170,61,2,91,-4.5(27/feb),261,114,1,8,,403.1,102,23,10,49,6.5,0,15.2,21.2,1,939.4(03/abr),59,,,,
1988-1,3260B,10.6(17),20,82,0,8,3.7,972.7(08),7,1019.7,958.4,4.8,15.8(29),12.2,0,0,2,30/28.1(06),1,9,38,2,15,-1.0(10),306,92,0,3,492,33.6,18,0,11,3,9.8,0,8.6,12.4,0,946.7(29),8,,,,
1988-2,3260B,16.3(16),8,69,0,3,6.3,966.7(07),9,1020.8,959.3,2.6,18.6(14),9.1,0,1,7,30/23.1(06),1,14,58,0,5,-4.5(27),337,75,0,1,753,21.3,7,0,13,9,6.5,0,7.9,13.1,0,949.0(06),3,,,,
1988-3,3260B,2.3(04),8,54,0,1,8.3,970.3(24),8,1020.5,959.8,4.3,26.0(25),9.3,0,0,8,30/20.6(29),0,15,69,0,3,-2.4(01),279,74,0,0,1276,3.4,3,0,10,6,9.3,0,11.4,18.5,0,945.1(04),2,,,,
1988-4,3260B,12.0(11),16,67,0,3,6.4,961.6(13),5,1012.8,952.9,8.2,25.0(15),14.7,0,0,0,27/21.1(22),1,14,48,0,15,3.2(04),269,103,0,0,813,55.3,16,2,11,0,8.1,0,13.2,18.1,0,939.4(03),11,,,,
1988-5,3260B,32.5(11),8,63,0,0,7.7,960.7(20),1,1012.3,953.1,11.0,28.0(31),14.0,0,0,0,30/16.4(26),2,23,53,0,12,7.0(03),268,119,1,0,1053,88.1,13,5,10,0,14.9,0,16.2,21.4,0,943.5(12),9,,,,
1988-6,3260B,27.2(17),11,61,0,1,6.9,959.9(05),3,1012.2,953.6,13.1,32.8(02),17.5,3,0,2,24/20.0(23),4,17,46,0,17,8.5(07),256,136,0,0,1044,103.0,18,10,10,0,18.2,0,18.8,24.4,0,945.5(08),11,,,,
1988-7,3260B,1.6(04),1,50,0,0,11.9,963.5(07),2,1014.0,956.6,17.3,38.8(28),22.6,22,30,16,30/16.9(02),0,14,81,0,3,10.0(05),276,164,0,0,2074,2.7,3,1,12,0,20.2,0,24.7,32.1,1,945.2(04),2,,,,
1988-8,3260B,0.0(--),0,45,0,0,12.1,961.6(22),1,1012.1,955.0,17.7,40.4(02),23.0,29,0,21,28/20.6(02),0,10,88,0,0,12.4(21),232,163,0,0,2356,0.0,0,1,9,0,28.9,0,26.0,34.2,0,948.5(02),0,,,,
1988-9,3260B,0.0(--),3,50,0,0,9.0,967.3(26),1,1017.0,958.8,13.9,40.3(07),22.5,16,0,16,32/21.4(09),0,11,72,0,0,6.9(15),263,140,0,0,1831,0.0,1,0,10,0,21.8,0,22.3,30.7,0,949.8(13),0,,,,
1989-10,3260B,4.5(15),6,64,0,0,7.1,969.2(30),1,1019.3,959.9,11.0,30.0(07),15.2,1,0,8,12/15.6(23),0,17,64,0,5,6.5(21),306,126,0,0,1028,13.9,5,0,10,0,18.5,0,17.4,23.8,0,949.5(27),4,,,,
1989-11,3260B,12.1(26),12,79,0,1,3.4,965.1(04),6,1013.2,953.2,9.1,25.6(01),13.0,0,0,0,12/23.9(14),3,18,33,0,16,2.4(04),356,118,0,1,633,77.2,17,1,13,0,11.5,0,13.0,16.9,0,939.9(22),11,,,,
1989-12,3260B,25.2(25),19,83,0,5,2.1,969.0(23),9,1014.7,954.1,7.9,18.2(17),13.7,0,0,1,22/24.4(16),2,11,22,0,22,1.2(24),354,110,0,2,429,93.9,23,0,14,0,7.8,0,10.8,13.7,0,936.5(18),14,,,,
1989-13,3260B,25.8(27/may),98,59,2,18,7.4,981.1(12/feb),46,1016.7,957.3,10.3,41.0(19/jul),24.4,95,3,80,28/38.3(25/feb),10,187,58,3,90,-5.8(03/ene),294,109,0,8,14880,381.3,103,26,11,29,7.8,0,16.5,22.7,0,931.9(25/feb),63,,,,
1989-1,3260B,5.4(06),6,74,0,7,5.5,978.9(05),0,1030.8,968.1,-0.6,15.4(14),4.7,0,3,10,34/14.4(06),0,15,57,0,3,-5.8(03),190,69,0,3,339,6.5,3,0,6,19,8.0,0,5.7,11.9,0,953.9(06),1,,,,
1989-2,3260B,3.6(08),11,65,0,2,5.9,981.1(12),7,1024.3,962.6,2.6,20.0(18),9.0,0,0,5,28/38.3(25),0,12,55,2,6,-3.3(06),341,73,0,0,717,10.8,10,1,12,10,9.9,0,8.5,14.5,0,931.9(25),4,,,,
1989-3,3260B,6.6(28),9,55,1,0,7.2,967.1(22),5,1017.9,957.6,5.8,25.7(25),12.0,0,0,4,30/18.6(01),0,18,60,0,4,2.9(09),275,80,0,0,1023,12.9,6,0,10,0,11.6,0,12.7,19.7,0,946.9(17),3,,,,
1989-4,3260B,20.6(25),14,62,1,1,7.0,963.4(28),8,1012.0,951.9,6.3,22.5(29),10.0,0,0,0,28/23.9(12),2,16,52,0,12,1.0(17),375,85,0,0,837,59.9,13,0,15,0,9.8,0,11.6,16.8,0,934.5(03),9,,,,
1989-5,3260B,25.8(27),9,53,0,1,8.8,965.0(16),2,1014.4,955.7,11.8,31.0(20),15.4,5,0,7,24/16.9(21),2,15,61,0,9,5.4(01),287,116,0,1,1452,53.6,10,8,10,0,17.3,0,18.7,25.5,0,949.2(23),6,,,,
1989-6,3260B,1.6(18),3,42,0,0,10.9,961.1(20),2,1013.7,956.0,15.5,38.2(30),19.7,20,0,7,04/22.5(14),0,20,73,0,3,9.3(04),262,124,0,0,1913,3.2,5,6,11,0,22.0,0,23.2,30.9,0,952.1(30),2,,,,
1989-7,3260B,8.7(29),1,35,0,0,12.0,962.0(25),4,1013.9,957.1,19.9,41.0(19),24.4,31,0,20,30/25.0(20),0,10,82,0,2,17.0(04),284,135,0,0,2687,12.1,2,4,11,0,30.8,0,28.1,36.4,0,950.0(03),2,,,,
1989-8,3260B,8.9(09),4,37,0,0,10.4,961.2(22),1,1011.6,954.7,19.9,40.8(01),24.2,29,0,13,30/29.2(09),0,14,76,1,2,15.6(31),257,135,0,0,2519,10.0,3,4,11,0,27.2,0,27.3,34.6,0,947.1(06),2,,,,
1989-9,3260B,16.6(07),4,54,0,1,8.0,961.5(15),1,1014.6,956.3,14.6,32.7(15),17.5,9,0,5,16/18.9(04),1,21,64,0,6,11.5(30),246,133,0,1,1303,27.3,6,2,9,0,19.5,0,21.1,27.5,0,949.6(09),5,,,,
1990-10,3260B,15.0(18),13,71,0,2,5.3,965.0(05),6,1014.2,954.8,11.0,28.4(02),17.5,0,0,3,30/20.0(18),2,15,47,0,13,4.8(09),302,130,0,0,886,51.3,15,0,11,0,15.6,0,16.0,21.0,0,944.5(18),11,35028,,,
1990-11,3260B,15.8(24),6,78,0,11,6.4,970.4(15),2,1018.3,957.3,4.6,23.1(16),13.3,0,0,7,30/25.0(24),1,17,64,0,6,-0.9(30),201,97,0,6,422,39.5,6,0,8,2,8.8,0,10.1,15.5,1,939.4(25),4,28151,,,
1990-12,3260B,8.4(08),9,81,0,7,3.7,967.8(30),2,1021.5,959.3,1.0,13.5(01),8.9,0,1,4,35/19.4(11),0,18,40,0,5,-6.5(16),227,75,0,2,361,11.5,6,0,8,15,6.6,0,5.6,10.1,0,942.2(08),2,20027,,,
1990-13,3260B,23.6(08/sep),79,60,1,41,7.7,976.7(10/mar),34,1018.4,958.8,9.8,41.3(21/jul),24.0,102,5,74,30/25.0(24/nov),5,212,61,0,72,-6.5(16/dic),274,112,0,15,,233.3,84,13,11,31,6.6,1,16.1,22.3,1,938.9(06/abr),46,614347,,,
1990-1,3260B,9.2(27),12,81,0,11,4.5,975.8(21),4,1026.9,964.6,1.5,14.5(25),9.1,0,3,5,28/17.5(26),0,14,47,0,10,-3.6(22),184,80,0,3,,23.1,13,0,7,12,7.0,0,6.4,11.2,0,945.8(27),5,23501,,,
1990-2,3260B,0.3(06),4,73,0,8,6.8,973.8(23),2,1025.1,964.0,4.6,22.2(24),7.9,0,1,6,28/21.9(11),0,18,63,0,1,0.7(01),258,97,0,3,553,0.3,2,1,10,0,11.8,0,11.0,17.3,0,955.4(16),0,34432,,,
1990-3,3260B,3.8(31),7,56,1,1,6.9,976.7(10),6,1026.4,965.4,5.4,27.1(21),10.5,0,0,6,14/21.1(04),0,18,57,0,7,-0.5(03),386,80,0,1,1107,11.9,6,0,14,1,9.2,1,11.6,17.8,0,957.0(30),4,48192,,,
1990-4,3260B,8.5(05),10,61,0,1,6.7,967.8(18),3,1015.7,955.4,5.9,21.5(27),10.1,0,0,2,28/20.0(06),0,18,50,0,15,0.0(10),332,86,0,0,964,35.8,15,2,14,1,12.5,0,11.6,17.3,0,938.9(06),11,53381,,,
1990-5,3260B,4.2(12),5,47,0,0,9.5,964.2(28),4,1015.5,956.7,11.2,32.2(31),16.8,4,0,2,28/18.1(12),0,24,66,0,5,6.0(04),293,104,0,0,1601,10.1,8,3,12,0,17.0,0,18.3,25.4,0,949.2(11),3,76334,,,
1990-6,3260B,0.0(--),2,37,0,0,12.1,960.7(25),0,1012.6,955.1,17.1,37.5(24),22.5,23,0,12,28/13.9(04),0,16,81,0,0,12.1(06),321,118,0,0,2407,0.0,0,0,15,0,27.3,0,24.4,31.8,0,948.7(04),0,87092,,,
1990-7,3260B,3.0(28),1,40,0,0,11.7,963.7(29),3,1013.9,957.1,19.4,41.3(21),24.0,30,0,15,02/18.1(21),0,15,80,0,4,12.7(29),289,160,0,0,2750,5.9,5,1,10,0,24.6,0,27.7,35.8,0,951.4(13),2,83208,,,
1990-8,3260B,1.2(21),1,43,0,0,10.5,963.9(04),1,1015.1,958.1,19.5,39.4(01),22.8,30,0,9,10/16.4(02),0,21,76,0,3,13.8(31),261,162,0,0,2434,2.3,3,3,10,0,28.6,0,27.2,35.0,0,952.1(06),1,72446,,,
1990-9,3260B,23.6(08),9,56,0,0,7.8,965.6(28),1,1015.2,957.4,16.7,36.0(06),19.8,15,0,3,02/18.9(16),2,18,62,0,3,12.4(01),238,160,0,0,1503,41.6,5,3,9,0,24.0,0,23.3,29.9,0,951.0(08),3,52555,,,
1991-10,3260B,13.6(10),7,74,0,4,5.7,966.6(02),0,1016.8,956.7,8.2,28.5(05),12.7,0,0,8,30/14.4(11),2,15,50,0,13,0.9(22),230,113,0,1,801,52.9,15,1,8,0,10.7,0,13.4,18.5,0,942.7(10),7,35306,,,
1991-11,3260B,4.4(30),5,75,0,5,5.6,972.2(07),2,1020.4,959.3,4.0,22.9(01),12.5,0,0,6,28/19.4(15),0,19,56,0,6,-3.8(24),258,95,0,4,715,8.0,7,0,9,4,10.3,0,9.8,15.6,0,950.0(30),2,25429,,,
1991-12,3260B,16.8(14),11,85,0,12,3.4,975.0(18),0,1028.2,965.9,1.9,16.1(23),7.0,0,1,7,12/14.4(13),1,13,37,0,9,-3.6(28),211,84,0,5,270,27.3,7,0,7,10,4.5,0,6.6,11.2,1,949.9(01),4,18529,,,
